Length,Width,Height,KerbWeight,TopSpeed,Acceleration,CargoVolumn,mileage_new,AlloyWheelSize,Displacement,NoofCylinder,SeatingCapacity,MaxPowerRPM,MaxPowerbhp,MaxTorqueRPM,MaxTorqueNm,model,vid,pageType,carType,ValueConfiguration,TurboCharger,SuperCharger,GearBox,DriveType,SteeringType,FrontBrakeType,RearBrakeType,TyreType,seller_type_new,car_segment
3599.0,1495.0,1700.0,960.0,137.0,15.9,180.0,26.6,15.0,998.0,3.0,5.0,6200.0,58.16,3500.0,77.0,maruti,maruti wagon r lxi cng,ucr,corporate,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,dealer,hatchback
3600.0,1600.0,1560.0,915.0,150.0,15.05,235.0,31.79,15.0,998.0,3.0,5.0,6000.0,58.2,3500.0,78.0,maruti,maruti celerio green vxi,ucr,corporate,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3990.0,1680.0,1505.0,950.0,160.0,15.0,400.0,18.0,15.4,1198.0,4.0,5.0,6000.0,86.7,4500.0,109.0,honda,honda amaze s plus i-vtec,ucr,corporate,sohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,sedan
3595.0,1475.0,1700.0,960.0,120.2,15.972,192.0,26.2,13.0,998.0,3.0,5.0,6200.0,58.2,3500.0,77.0,maruti,maruti wagon r lxi cng,ucr,corporate,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
4395.0,1735.0,1690.0,1250.0,95.0,12.1,210.0,26.11,15.4,1462.0,4.0,7.0,5500.0,86.63,4200.0,121.5,maruti,maruti ertiga vxi cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,muv
3599.0,1495.0,1700.0,960.0,137.0,15.9,180.0,26.6,15.0,998.0,3.0,5.0,6200.0,58.16,3500.0,77.0,maruti,maruti wagon r lxi cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,dealer,hatchback
3495.0,1475.0,1460.0,705.0,137.0,18.2,210.0,26.83,12.0,796.0,3.0,5.0,6200.0,38.4,3000.0,62.0,maruti,maruti alto green lxi (cng),cls,partner,sohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3765.0,1660.0,1520.0,964.0,165.0,12.9,256.0,18.9,15.4,1197.0,4.0,5.0,6000.0,65.39,4000.0,98.0,hyundai,hyundai grand i10 1.2 kappa magna cng bsiv,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3655.0,1620.0,1675.0,905.0,152.0,18.6,341.0,32.52,15.0,998.0,3.0,5.0,5500.0,58.33,3500.0,78.0,maruti,maruti wagon r cng lxi,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3695.0,1600.0,1560.0,925.0,150.0,15.05,235.0,31.79,15.0,998.0,3.0,5.0,6000.0,58.33,3500.0,78.0,maruti,maruti celerio vxi cng optional bsiv,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3695.0,1600.0,1560.0,920.0,150.0,15.05,235.0,31.79,15.0,998.0,3.0,5.0,6000.0,58.33,3500.0,78.0,maruti,maruti celerio vxi cng bsiv,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
4296.0,1695.0,1685.0,1255.0,164.0,13.0,135.0,17.5,14.8,1373.0,4.0,7.0,6000.0,80.46,4000.0,112.0,maruti,maruti ertiga vxi cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,muv
3655.0,1620.0,1675.0,905.0,152.0,18.6,341.0,32.52,15.0,998.0,3.0,5.0,5500.0,58.33,3500.0,78.0,maruti,maruti wagon r cng lxi opt,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,dealer,hatchback
3765.0,1660.0,1520.0,935.0,165.0,12.9,256.0,25.0,14.0,1197.0,4.0,5.0,6000.0,82.0,4000.0,114.0,hyundai,hyundai grand i10 asta cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
4395.0,1735.0,1690.0,1235.0,95.0,12.919999999999998,210.0,20.008000000000003,12.6,1462.0,4.0,7.0,6000.0,91.18,4400.0,122.0,maruti,maruti ertiga tour std cng 2019-2022,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,individual,muv
3600.0,1600.0,1560.0,915.0,150.0,15.05,235.0,31.79,15.0,998.0,3.0,5.0,6000.0,58.2,3500.0,78.0,maruti,maruti celerio green vxi,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3655.0,1620.0,1675.0,805.0,152.0,18.6,341.0,33.54,15.0,998.0,3.0,5.0,5500.0,67.04,3500.0,90.0,maruti,maruti wagon r cng lxi bsiv,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,dealer,hatchback
3995.0,1695.0,1555.0,1045.0,95.0,14.2,210.0,26.55,14.8,1197.0,4.0,5.0,6000.0,70.4,4000.0,95.0,maruti,maruti swift dzire tour 1.2 s std cng opt,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,sedan
3655.0,1620.0,1675.0,905.0,152.0,18.6,341.0,32.52,15.0,998.0,3.0,5.0,5500.0,58.33,3500.0,78.0,maruti,maruti wagon r cng lxi,ucr,corporate,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3595.0,1475.0,1700.0,960.0,120.2,15.972,192.0,26.2,13.0,998.0,3.0,5.0,6200.0,58.2,3500.0,77.0,maruti,maruti wagon r lxi cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
3655.0,1620.0,1675.0,905.0,152.0,18.6,341.0,32.52,15.0,998.0,3.0,5.0,5500.0,58.33,3500.0,78.0,maruti,maruti wagon r cng lxi,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
3675.0,1475.0,1800.0,1020.0,145.0,15.7,275.0,20.0,14.8,1196.0,4.0,5.0,6000.0,63.0,3000.0,83.0,maruti,maruti eeco flexi green,cls,partner,dohc,no,no,5 speed,2wd,not assisted,disc,drum,tubeless,dealer,minivans
3595.0,1475.0,1700.0,960.0,120.2,15.972,192.0,26.2,13.0,998.0,3.0,5.0,6200.0,58.2,3500.0,77.0,maruti,maruti wagon r lxi cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3913.2,1636.6,1566.6,1111.0,142.48000000000002,12.84,296.4,18.636000000000003,13.0,999.0,4.0,5.0,5580.0,64.636,3600.0,140.0,hyundai,hyundai santro at cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
3599.0,1495.0,1700.0,965.0,137.0,15.9,180.0,26.6,15.0,998.0,3.0,5.0,6200.0,58.16,3500.0,77.0,maruti,maruti wagon r lxi cng optional,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,dealer,hatchback
3599.0,1495.0,1700.0,965.0,137.0,15.9,180.0,26.6,15.0,998.0,3.0,5.0,6200.0,58.16,3500.0,77.0,maruti,maruti wagon r lxi cng optional,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,individual,hatchback
3599.0,1495.0,1700.0,960.0,137.0,15.9,180.0,26.6,15.0,998.0,3.0,5.0,6200.0,58.16,3500.0,77.0,maruti,maruti wagon r lxi cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,individual,hatchback
3600.0,1475.0,1595.0,845.0,145.0,17.7,180.0,26.3,13.0,998.0,3.0,5.0,6200.0,67.1,3500.0,90.0,maruti,maruti estilo lxi cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3675.0,1475.0,1825.0,1050.0,145.0,15.7,275.0,21.94,14.8,1196.0,4.0,5.0,6000.0,61.7,3000.0,85.0,maruti,maruti eeco cng 5 seater ac bsiv,cls,partner,dohc,no,no,5 speed,2wd,not assisted,disc,drum,tubeless,dealer,minivans
3675.0,1475.0,1825.0,1030.0,125.0,15.7,249.0,26.55,14.8,1196.0,4.0,2.0,6000.0,61.68,3000.0,85.0,maruti,maruti eeco cargo std cng ac 2021-2022,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
4265.0,1695.0,1685.0,1160.0,164.0,13.0,135.0,22.8,14.8,1373.0,4.0,7.0,6000.0,80.9,4000.0,110.0,maruti,maruti ertiga vxi cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,muv
3545.0,1515.0,1475.0,867.0,145.0,13.3,177.0,32.26,13.6,998.0,3.0,4.0,6000.0,58.3,3500.0,78.0,maruti,maruti alto k10 lxi cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3445.0,1490.0,1475.0,755.0,140.0,19.0,177.0,33.0,14.8,796.0,3.0,5.0,6000.0,47.3,3500.0,69.0,maruti,maruti alto 800 lxi cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,dealer,hatchback
3995.0,1680.0,1520.0,969.0,141.2,14.2,328.2,28.0,14.6,1197.0,4.0,5.0,6000.0,68.05,4000.0,95.2,hyundai,hyundai aura s cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,sedan
3675.0,1475.0,1825.0,1050.0,115.0,15.7,236.0,20.88,14.8,1196.0,4.0,5.0,6000.0,61.68,3000.0,85.0,maruti,maruti eeco cng 5 seater ac,cls,partner,dohc,yes,no,5 speed,2wd,not assisted,disc,drum,radial,individual,minivans
3805.0,1680.0,1520.0,888.0,95.0,14.2,210.0,18.479999999999997,13.0,1197.0,4.0,5.0,6000.0,68.05,4000.0,95.2,hyundai,hyundai grand i10 nios sportz cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
4440.0,1695.0,1485.0,1095.0,186.6,10.0,506.0,16.8,15.0,1497.0,4.0,5.0,6600.0,116.3,4800.0,146.0,honda,honda city cng,cls,partner,sohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,sedan
3600.0,1600.0,1560.0,915.0,150.0,15.05,235.0,31.79,15.0,998.0,3.0,5.0,6000.0,58.2,3500.0,78.0,maruti,maruti celerio green vxi,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
3675.0,1475.0,1825.0,1050.0,115.0,15.7,236.0,20.88,14.8,1196.0,4.0,5.0,6000.0,61.68,3000.0,85.0,maruti,maruti eeco cng 5 seater ac,cls,partner,dohc,yes,no,5 speed,2wd,not assisted,disc,drum,radial,dealer,minivans
3445.0,1515.0,1475.0,845.0,122.0,19.0,190.2,31.59,14.8,796.0,3.0,4.0,6000.0,40.36,3500.0,60.0,maruti,maruti alto 800 lxi s-cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,tubeless,individual,hatchback
3610.0,1645.0,1560.0,1048.0,137.0,14.3,235.0,30.48,14.4,1086.0,4.0,5.0,5500.0,59.17,4500.0,85.3,hyundai,hyundai santro sportz cng,cls,partner,sohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
3765.0,1677.0,1535.0,969.0,95.0,15.505999999999997,210.0,26.49,15.2,1199.0,3.0,5.0,6000.0,72.0,3500.0,95.0,tata,tata tiago xz plus cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
3675.0,1475.0,1800.0,1040.0,145.0,15.7,275.0,21.94,14.8,1196.0,4.0,5.0,6000.0,63.0,3000.0,83.0,maruti,maruti eeco cng htr 5-str,cls,partner,dohc,no,no,5 speed,2wd,not assisted,disc,drum,tubeless,individual,minivans
3495.0,1475.0,1460.0,705.0,137.0,18.2,210.0,26.83,12.0,796.0,3.0,5.0,6200.0,38.4,3000.0,54.0,maruti,maruti alto green std bsiv,cls,partner,sohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
3655.0,1620.0,1675.0,910.0,95.0,18.6,210.0,34.05,15.0,998.0,3.0,5.0,5300.0,55.92,3400.0,82.1,maruti,maruti wagon r lxi cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
3995.0,1680.0,1520.0,969.0,141.2,14.2,328.2,28.0,14.6,1197.0,4.0,5.0,6000.0,68.05,4000.0,95.2,hyundai,hyundai aura s cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,sedan
3445.0,1515.0,1475.0,850.0,122.0,19.0,190.2,31.59,14.8,796.0,3.0,4.0,6000.0,40.36,3500.0,60.0,maruti,maruti alto 800 lxi opt s-cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,tubeless,individual,hatchback
4250.0,1670.0,1370.0,1039.0,170.0,13.1,380.0,13.2,13.0,1495.0,4.0,5.0,5500.0,93.7,3500.0,124.5,hyundai,hyundai accent executive cng,cls,partner,sohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,sedan
3675.0,1475.0,1825.0,1050.0,145.0,15.7,275.0,21.94,14.8,1196.0,4.0,5.0,6000.0,61.7,3000.0,85.0,maruti,maruti eeco cng 5 seater ac bsiv,cls,partner,dohc,no,no,5 speed,2wd,not assisted,disc,drum,tubeless,individual,minivans
3675.0,1475.0,1825.0,1050.0,125.0,15.7,249.0,26.78,14.8,1197.0,4.0,5.0,6000.0,70.67,3000.0,95.0,maruti,maruti eeco 5 seater ac cng,cls,partner,dohc,yes,no,5 speed,2wd,not assisted,disc,drum,radial,individual,hatchback
3675.0,1475.0,1825.0,1050.0,125.0,15.7,249.0,26.78,14.8,1197.0,4.0,5.0,6000.0,70.67,3000.0,95.0,maruti,maruti eeco 5 seater ac cng,cls,partner,dohc,yes,no,5 speed,2wd,not assisted,disc,drum,radial,dealer,hatchback
4440.0,1695.0,1485.0,1095.0,186.6,10.0,506.0,16.8,15.0,1497.0,4.0,5.0,6600.0,116.3,4800.0,146.0,honda,honda city cng,cls,partner,sohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,sedan
3430.0,1490.0,1475.0,810.0,140.0,19.0,177.0,33.44,14.8,796.0,3.0,5.0,6000.0,40.3,3500.0,60.0,maruti,maruti alto 800 cng lxi,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,dealer,hatchback
4265.0,1695.0,1685.0,1160.0,164.0,13.0,135.0,22.8,14.8,1373.0,4.0,7.0,6000.0,80.9,4000.0,110.0,maruti,maruti ertiga vxi cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,muv
3610.0,1645.0,1560.0,1048.0,137.0,14.3,235.0,30.48,14.4,1086.0,4.0,5.0,5500.0,58.0,4500.0,84.33,hyundai,hyundai santro sportz cng bsiv,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
4296.0,1695.0,1685.0,1255.0,164.0,13.0,135.0,17.5,14.8,1373.0,4.0,7.0,6000.0,80.46,4000.0,112.0,maruti,maruti ertiga vxi cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,muv
3675.0,1475.0,1800.0,908.0,125.0,15.7,408.0,15.1,13.0,1196.0,4.0,5.0,6000.0,73.0,3000.0,101.0,maruti,maruti eeco 5 str with ac plus htr cng,cls,partner,sohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,minivans
3395.0,1490.0,1475.0,720.0,140.0,19.0,177.0,30.46,14.8,796.0,3.0,5.0,6000.0,47.3,3500.0,69.0,maruti,maruti alto 800 cng lxi,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,dealer,hatchback
3395.0,1490.0,1475.0,720.0,140.0,19.0,177.0,30.46,14.8,796.0,3.0,5.0,6000.0,47.3,3500.0,69.0,maruti,maruti alto 800 cng lxi,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,individual,hatchback
3736.2,1585.8,1556.2,1006.4,128.8,16.2,257.2,17.0,13.0,1086.0,4.0,5.0,5300.0,64.55,2900.0,93.62,hyundai,hyundai santro xing gl plus cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
3695.0,1600.0,1560.0,920.0,150.0,15.05,235.0,30.47,15.0,998.0,3.0,5.0,6000.0,58.33,3500.0,78.0,maruti,maruti celerio vxi cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3600.0,1475.0,1595.0,845.0,145.0,17.7,180.0,26.3,13.0,998.0,3.0,5.0,6200.0,67.1,3500.0,90.0,maruti,maruti zen estilo lxi green (cng),cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
4250.0,1670.0,1370.0,1039.0,170.0,13.1,380.0,13.2,13.0,1495.0,4.0,5.0,5550.0,94.0,3500.0,12.5,hyundai,hyundai accent gle cng,cls,partner,sohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,sedan
3655.0,1620.0,1675.0,905.0,152.0,18.6,341.0,32.52,15.0,998.0,3.0,5.0,5500.0,58.33,3500.0,78.0,maruti,maruti wagon r cng lxi opt,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,individual,hatchback
3495.0,1475.0,1460.0,705.0,137.0,18.2,210.0,26.83,12.0,796.0,3.0,5.0,6200.0,38.4,3000.0,62.0,maruti,maruti alto green lx bsiv,cls,partner,sohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
3655.0,1620.0,1675.0,805.0,152.0,18.6,341.0,33.54,15.0,998.0,3.0,5.0,5500.0,67.04,3500.0,90.0,maruti,maruti wagon r cng lxi bsiv,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,individual,hatchback
3695.0,1600.0,1560.0,920.0,150.0,15.05,235.0,31.79,15.0,998.0,3.0,5.0,6000.0,58.33,3500.0,78.0,maruti,maruti celerio vxi cng bsiv,ucr,corporate,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3164.0,1750.0,1652.0,745.0,105.0,12.6,110.0,36.0,14.8,624.0,2.0,4.0,5500.0,37.48,4000.0,51.0,tata,tata nano cng xm,cls,partner,sohc,no,no,4 speed,2wd,not assisted,drum,drum,radial,dealer,hatchback
4395.0,1735.0,1690.0,1235.0,95.0,12.919999999999998,210.0,26.08,15.4,1462.0,4.0,7.0,6000.0,91.19,4400.0,122.0,maruti,maruti ertiga cng vxi,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,muv
3655.0,1620.0,1675.0,910.0,95.0,18.6,210.0,34.05,15.0,998.0,3.0,5.0,5300.0,55.92,3400.0,82.1,maruti,maruti wagon r vxi cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3610.0,1645.0,1560.0,1048.0,137.0,14.3,235.0,30.48,14.4,1086.0,4.0,5.0,5500.0,58.0,4500.0,84.33,hyundai,hyundai santro magna cng bsiv,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3909.0,1655.0,1590.0,840.4,155.416,16.630000000000003,287.6,22.238,13.6,998.0,3.0,5.0,6040.0,66.512,3500.0,89.6,maruti,maruti celerio tour 2018-2021 h2 cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3695.0,1600.0,1560.0,920.0,150.0,15.05,235.0,31.79,15.0,998.0,3.0,5.0,6000.0,58.33,3500.0,78.0,maruti,maruti celerio vxi cng bsiv,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3370.0,1410.0,1640.0,800.0,95.0,20.0,210.0,10.9,12.0,796.0,3.0,8.0,5000.0,35.0,3000.0,6.1,maruti,maruti omni cng,cls,partner,dohc,yes,no,4 speed,2wd,power assisted,disc,drum,radial,individual,minivans
4540.0,1760.0,1480.0,1180.0,205.0,10.42,470.0,14.53,15.0,1798.0,4.0,5.0,6400.0,138.0,4000.0,173.0,toyota,toyota corolla altis 1.8 g cng,cls,partner,dohc,no,no,6 speed,2wd,power assisted,disc,disc,radial,individual,sedan
3765.0,1677.0,1535.0,969.0,95.0,15.505999999999997,210.0,26.49,15.2,1199.0,3.0,5.0,6000.0,72.0,3500.0,95.0,tata,tata tiago xz plus cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3993.0,1677.0,1532.0,969.0,121.92,14.84,205.0,26.49,14.6,1199.0,3.0,5.0,6000.0,72.4,3500.0,95.0,tata,tata tigor xz plus cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,sedan
4445.0,1775.0,1755.0,1275.0,95.0,13.2,209.0,20.32,16.0,1462.0,4.0,6.0,6000.0,86.63,4200.0,121.5,maruti,maruti xl6 zeta cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,individual,muv
3430.0,1490.0,1475.0,810.0,140.0,19.0,177.0,33.44,14.8,796.0,3.0,5.0,6000.0,40.3,3500.0,60.0,maruti,maruti alto 800 cng lxi,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,tubeless,individual,hatchback
3805.0,1680.0,1520.0,888.0,95.0,14.2,210.0,18.479999999999997,13.0,1197.0,4.0,5.0,6000.0,68.05,4000.0,95.2,hyundai,hyundai grand i10 nios sportz cng,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
3695.0,1655.0,1555.0,905.0,95.0,18.6,210.0,35.6,15.0,998.0,3.0,5.0,5300.0,55.92,3400.0,82.1,maruti,maruti celerio vxi cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,hatchback
3995.0,1660.0,1520.0,1043.0,95.0,14.88,210.0,17.06,15.4,1197.0,4.0,5.0,5600.0,65.39,4200.0,97.96,hyundai,hyundai xcent prime t plus cng,cls,partner,dohc,yes,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,sedan
4490.0,1735.0,1550.0,1170.0,165.0,13.2,504.0,21.4,15.0,1586.0,4.0,5.0,5600.0,103.3,4100.0,145.0,maruti,maruti sx4 green vxi (cng),cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,dealer,sedan
3600.0,1600.0,1560.0,915.0,150.0,15.05,235.0,31.79,15.0,998.0,3.0,5.0,6000.0,58.2,3500.0,78.0,maruti,maruti celerio green vxi optional,cls,partner,dohc,no,no,5 speed,2wd,power assisted,disc,drum,radial,individual,hatchback
